time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.684792,-0.06598428830752398,-0.5008640489912839,-0.05763239087162353,0.8352356142205923,0.5258186998495112,-0.21935661969022505,1.6414632724694824,0.845657091876377,0.024219679635387698
7.693715,0.12447787551065917,-0.2759018851731,-0.36277022705344414,0.8408100177947986,0.5270065251171239,-0.21369797156057285,1.6509754736648443,0.8520261195270695,0.023094764411184146
7.702543,0.21702000619137404,-0.06875975449238655,-0.561428096372726,0.8477816557940657,0.5299395820385933,-0.21164114484908825,1.6604620179524587,0.8583269985001893,0.021919829614937887
7.718329,0.18011826906107556,0.10753850837731457,-0.6064298335030288,0.8553115405362053,0.5345868417151103,-0.21196336974329477,1.6699580112157781,0.8646024197742629,0.02068995461900744
7.727121,0.0555575898861128,0.18067782920235292,-0.46809051267798973,0.8620461652875098,0.5405893634059905,-0.2131625583255321,1.6794541407480317,0.8708597466597239,0.01938060056668465
7.735201,-0.10326409751927983,0.14715614179695735,-0.18811220008338259,0.8675649281519249,0.5473701986341262,-0.21292576904247026,1.6890189551657484,0.8771884312980234,0.018073278396597003
7.743095,-0.2899540935054782,0.04256614581076222,0.19919780393041636,0.8719566672777141,0.554287895711119,-0.20938988222279464,1.6987143771547588,0.8836668282040253,0.016865608052880413
7.751109,-0.4705377678290099,-0.08691752851277161,0.6115141296068884,0.8748171548309716,0.5605024737513529,-0.20159538003857838,1.7085061009618483,0.8902711825884203,0.015774807486483782
7.760006,-0.7003607489478116,-0.21274050963157054,1.0805911484880828,0.8764887961633812,0.5660436449444054,-0.18900921517801422,1.718428072675123,0.897042216761071,0.01489418594742965
7.76843,-0.9380397332060421,-0.3340194938898053,1.5681121642298557,0.8766984053439613,0.5711718191101153,-0.170835364695203,1.728504856886829,0.9040123856445111,0.01431402516958974
7.778284,-1.0881939458410477,-0.4586737065248075,1.9842579515948469,0.8752333432075442,0.5757994343481576,-0.14702118291133148,1.738697991194152,0.9111544391427965,0.014068310328249867
7.794717,-1.0831671992422895,-0.5937469599260514,2.267884698193608,0.8729463927229242,0.5798623765810202,-0.11831669148530731,1.7489897805396069,0.9184579010112585,0.014205048245789904
7.804055,-1.0144628348141267,-0.585142595497887,2.3410890626217715,0.8705366081148848,0.5823893133352651,-0.08692483047422098,1.7592284259475568,0.9257651422816685,0.014615422151991974
7.812044,-0.987010238484802,-0.42588999916856307,2.2829416589510947,0.8675776109325135,0.5837608162557391,-0.056036791094579895,1.7692291400062365,0.9328811908606129,0.01512904664994923
7.819849,-0.9952741503063051,-0.18915391099006512,2.1398777471295944,0.8624541366339421,0.584297292342776,-0.028176665433601537,1.77877469145471,0.9395924630479658,0.015524564716079865
7.827669,-0.9507917057900307,0.05212853352620575,1.904760191645865,0.8552805415015023,0.5852549322642076,-0.003726371517845741,1.787924386556895,0.9459774338790987,0.015850070307431366
7.843731,-0.8197748836770113,0.1384453556392286,1.7148770137588873,0.8472431630040381,0.5873338860561822,0.017039848448206947,1.796774588109436,0.9521549416369318,0.01618084464185191
7.853446,-0.9059373680551378,0.05158287126110124,1.925614529380757,0.8411079606244642,0.5908641326000418,0.03647136596053587,1.805651866040146,0.9584592939619592,0.016812908689462617
7.871681,-1.0104627144121632,-0.07054247509592534,2.1987891830237354,0.8346021952818398,0.594016755367513,0.05852711405270065,1.8145500130425618,0.9648819739345961,0.01773883420294298
7.871804,-1.147270070486653,-0.12004983117041343,2.432181826949242,0.8270734392270878,0.5959688584017894,0.08336968457234113,1.8233826980272472,0.9713357194980032,0.01890660870544486
7.882576,-1.0904190145738841,-0.053998775257643544,2.3420328828620134,0.8173542331554853,0.5966110957112126,0.10975596664325699,1.8319908218925407,0.9776649773662577,0.020195180664761662
7.893208,-0.8632037518708998,0.06071648744534007,2.001048145565002,0.8064088239800047,0.5961199291777701,0.13343327480933725,1.8401892535124658,0.9836895256130789,0.021430773704886684
7.90169,-0.6107353073869833,0.19838493192925832,1.5835165900489134,0.7961518120107386,0.5951823862783805,0.15206761712650188,1.8480085761312475,0.9894346923497532,0.022607587032507582
7.916609,-0.31563499896429786,0.32068524035194806,1.1197168984716013,0.7873661538710077,0.594558223821112,0.16541510622121836,1.855549343791316,0.9949894682913449,0.02376318431634249
